"R0000100","R0618301","T4112300"
357,68746,142760
358,28374,168000
359,37740,-5
360,80272,130800
361,72327,-5
362,19625,56000
363,29278,3900
364,87760,120900
365,51397,185000
366,61884,-5
367,76624,53720
368,72481,58105
369,91042,135004
370,89893,80000
371,69348,-5
372,94680,-1
373,11771,60000
374,15933,-5
375,11374,-5
376,83170,97000
377,32899,0
378,22233,0
379,13260,3110
380,10471,-2
381,49149,115090
382,11672,28800
383,34902,-5
384,40297,-5
385,39687,46050
386,63197,-1
387,5552,20916
388,78241,84400
389,-5,-5
390,4998,-5
391,23959,54000
392,93142,-2
393,76768,106000
394,6294,2500
395,43910,-2
396,19013,11964
397,7921,-5
398,17477,15600
399,66314,75000
400,100000,104500
401,24833,54000
402,24406,21000
403,3253,49368
404,6911,-5
405,16239,80000
406,43726,38000
407,45758,221000
408,85102,88000
409,90513,497763
410,68615,51515
411,18169,-2
412,64607,-1
413,21730,-5
414,73351,113000
415,9537,103000
416,53109,-1
417,55338,110000
418,60767,28951
419,48516,34500
420,66045,35000
421,100000,-5
422,99379,85000
423,-4,195000
424,89434,-5
425,39354,19800
426,27838,82000
427,-5,-5
428,81231,-5
429,83776,-5
430,-4,-5
431,78081,42000
432,1513,-5
433,1622,-5
434,65734,95000
435,26121,-5
436,68679,51050
437,71472,24102
438,79950,35000
439,75485,178350
440,48613,-5
441,10989,-5
442,64195,114200
443,97365,132100
444,80238,-2
445,93639,127100
446,25328,-5
447,16163,-5
448,3016,-5
449,47638,-2
450,27423,-5
451,39692,-5
452,55829,-2
453,72199,-5
454,79336,-5
455,94516,-2
456,48986,71353
457,78555,60100
458,86548,-2
459,85905,169000
460,31254,28050
461,90491,85000
462,95252,110100
463,79958,-5
464,79330,113000
465,85844,65700
466,-4,47000
467,95508,59952
468,90968,182800
469,31053,-2
470,11350,30000
471,28506,40556
472,29752,12496
473,-5,28000
474,40756,32000
475,20137,8000
476,-4,70366
477,32913,-2
478,51719,50000
479,76189,140900
480,51896,108000
481,93653,120100
482,77991,497763
483,47109,260350
484,13303,30000
485,8229,72300
486,50498,497763
487,44363,-5
488,56470,75100
489,59586,69020
490,30006,-5
491,13761,-2
492,54285,108270
493,73292,70000
494,83731,-5
495,69070,33200
496,92866,70400
497,23788,-5
498,-4,115228
499,39163,49000
500,64295,98920
501,78966,159600
502,71792,103030
503,56773,-2
504,19412,104800
505,26498,4200
506,43741,19456
507,70767,51000
508,23980,-5
509,87400,-5
510,85325,-5
511,90277,-5
512,47966,-5
513,51831,105200
514,11503,0
515,21063,-5
516,5250,-2
517,3292,-1
518,15956,0
519,2837,11350
520,26381,116581
521,37473,60000
522,4798,-5
523,23333,119000
524,49749,-5
525,-5,-5
526,13105,-5
527,61184,75000
528,30237,136000
529,-5,-5
530,5291,12516
531,5935,12552
532,13162,-5
533,55185,99000
534,982,61000
535,33208,-5
536,3052,-2
537,1356,0
538,15896,-5
539,85990,-5
540,16138,-5
541,23134,80000
542,-4,68800
543,21108,-2
544,23501,100000
545,54446,-5
546,28073,94944
547,45744,105430
548,72071,92250
549,42319,91788
550,81039,37794
551,-5,-5
552,94578,-1
553,99154,121224
554,91427,168476
555,-4,5900
556,86423,-5
557,99324,-2
558,83317,-2
559,95070,160100
560,62344,75000
561,76633,60000
562,64432,92000
563,44891,-5
564,33668,-2
565,35041,90000
566,24660,-5
567,49801,100000
568,54083,-2
569,87453,-5
570,100000,179000
571,75727,85000
572,-5,-5
573,69447,89459
574,35314,-5
575,99707,-5
576,86676,95000
577,96036,-5
578,98253,-5
579,72569,205200
580,41508,-5
581,93783,-5
582,91677,97000
583,73326,86600
584,37337,-5
585,25699,-2
586,22424,-5
587,-4,-5
588,4328,-5
589,229,-5
590,6771,50432
591,96194,-2
592,-4,38000
593,26440,19540
594,53342,30000
595,13468,-5
596,69499,-5
597,2826,-2
598,16514,-5
599,31295,-5
600,59737,-5
601,65103,-5
602,-4,-5
603,39038,-5
604,62762,130000
605,56187,92030
606,72782,72000
607,82311,-5
608,88693,127000
609,45803,42000
610,32629,-5
611,73742,105000
612,48877,-2
613,35747,70000
614,15699,170000
615,16768,56084
616,9141,-5
617,18641,-5
618,42993,-5
619,47764,38000
620,742,90000
621,2528,38320
622,52674,131000
623,12509,6000
624,30312,70000
625,4862,31800
626,22311,15617
627,88779,24864
628,2853,1845
629,3363,47500
630,7666,43000
631,22379,28000
632,1310,100000
633,68248,-1
634,40473,-1
635,57954,141800
636,34526,51000
637,66431,-5
638,52167,80000
639,60396,46000
640,77715,119040
641,8596,7000
642,36216,66000
643,45426,-5
644,90120,497763
645,86137,497763
646,1790,-2
647,43472,60000
648,43275,12000
649,85540,149000
650,77736,43000
651,80597,-5
652,76077,-5
653,90095,114850
654,92083,75400
655,48905,252000
656,92993,-1
657,87226,497763
658,-4,26436
659,39786,145300
660,86131,-5
661,78922,-5
662,70500,73000
663,76234,-5
664,47912,60000
665,59991,120000
666,6845,300
667,70912,182000
668,25253,100000
669,79232,-2
670,89419,169000
671,79303,59275
672,65315,14400
673,-4,44480
674,2926,70200
675,3663,-2
676,2250,23000
677,47975,69020
678,18326,-2
679,8563,-2
680,25213,-5
681,6381,0
682,34737,-5
683,45808,55000
684,29001,115656
685,55366,2400
686,79313,148000
687,88752,40000
688,41580,40440
689,35381,-5
690,72907,44000
691,57216,-5
692,36055,40000
693,-5,-5
694,-4,-5
695,-4,-5
696,-4,-5
697,14729,50000
698,8986,-2
699,18419,18000
700,22135,-5
701,10566,10687
702,31226,11036
703,40970,22000
704,46092,70000
705,63710,-5
706,24382,9816
707,31469,50000
708,11809,17068
709,26594,18898
710,59843,-5
711,38582,45030
712,80637,135000
713,14274,-5
714,26688,-2
715,16550,64000
716,15840,42000
717,30429,-2
718,63638,-5
719,6818,65000
720,36158,23000
721,24725,74000
722,38013,-5
723,26792,25000
724,78513,-2
725,97319,164927
726,-4,-5
727,-4,-5
728,20133,39500
729,69855,497763
730,70604,85000
731,46018,40000
732,51017,79323
733,27489,83300
734,9683,-5
735,21568,46700
736,25168,-1
737,19153,86000
738,38609,-5
739,28461,120000
740,91432,13056
741,40408,-5
742,64450,131000
743,80579,100000
744,2203,13000
745,31508,77000
746,65278,64200
747,70368,36050
748,23929,18052
749,16594,-5
750,16800,-5
751,28746,74115
752,80463,146000
753,26159,0
754,37591,-5
755,54906,-2
756,20084,37000
757,31118,91000
758,11905,28000
759,13144,13440
760,39320,-5
761,55614,16644
762,48786,108000
763,34180,42000
764,31809,1300
765,54100,-5
766,8099,-5
767,9262,-5
768,75744,497763
769,34236,0
770,31921,35000
771,-4,-5
772,52482,90000
773,-5,-5
774,53534,-5
775,66148,142000
776,97088,280000
777,79850,88000
778,89794,86000
779,60353,200
780,-4,-5
781,-5,-5
782,13182,-5
783,36082,-5
784,49537,78300
785,24305,-5
786,35693,-5
787,23568,-5
788,52352,-5
789,42361,86000
790,14809,-5
791,83138,64000
792,28537,88000
793,61347,18000
794,100000,-5
795,49078,-5
796,94119,145050
797,68375,-2
798,35662,72000
799,34051,94000
800,32078,69000
801,25324,62400
802,17362,60000
803,78000,76000
804,40982,23400
805,21206,-5
806,13465,-5
807,76332,166236
808,66992,-5
809,90819,-5
810,91719,238000
811,63642,71000
812,86990,174500
813,85915,36701
814,19541,30000
815,66540,-5
816,39343,-5
817,81325,135230
818,35569,50036
819,21881,-5
820,49039,185110
821,99180,21000
822,-4,-5
823,24129,-5
824,95645,-5
825,89264,77000
826,60734,-5
827,92042,203500
828,16956,-2
829,38888,110000
830,29680,60000
831,5648,-5
832,38997,21500
833,3311,52000
834,13045,25000
835,25338,133600
836,34921,-2
837,25129,-5
838,13781,17584
839,4208,35100
840,324,-5
841,57519,58400
842,24168,26876
843,34453,21000
844,36845,61191
845,20860,9960
846,32623,-5
847,22976,139000
848,32304,49000
849,36881,22000
850,82620,86000
851,55782,81746
852,28681,13048
853,98417,-5
854,50954,65500
855,61777,0
856,83737,28100
857,47207,71000
858,11710,-5
859,23250,56000
860,69283,36000
861,49173,39000
862,41383,105000
863,38088,155000
864,32786,-5
865,58337,-5
866,27315,46560
867,69101,-5
868,91600,42000
869,72213,-5
870,9505,-5
871,70262,108524
872,71872,193000
873,80046,-5
874,94976,184000
875,25657,-5
876,79208,-5
877,-4,177900
878,68575,-5
879,79765,80000
880,-4,-2
881,80898,-2
882,64498,130000
883,75516,202000
884,98089,92951
885,81330,1300
886,92741,190000
887,56311,126500
888,21826,80000
889,45056,88000
890,82756,497763
891,42935,86000
892,49165,24000
893,45436,105000
894,-4,-5
895,86610,-5
896,98804,85800
897,82852,58532
898,79576,75000
899,83208,76935
900,72257,150010
901,73871,-5
902,82490,118055
903,-4,135870
904,46394,-5
905,51552,-5
906,93511,173875
907,93432,71262
908,82465,68000
909,61363,-2
910,81839,35000
911,36254,-5
912,91404,208500
913,93464,285000
914,75363,134100
915,92122,80525
916,82189,104000
917,25522,9840
918,47309,3000
919,39872,25000
920,86877,190100
921,7983,-2
922,55885,-2
923,29364,-2
924,83946,207000
925,78852,150000
926,73214,-2
927,97423,-5
928,45999,13848
929,75258,145100
930,16307,2752
931,71323,19080
932,26769,143000
933,58258,-5
934,-5,37000
935,34620,-2
936,58404,113050
937,84974,114200
938,21712,52000
939,17528,0
940,57979,-5
941,44224,81010
942,55978,-2
943,20661,-5
944,97299,57600
945,51523,47200
946,84064,-5
947,77263,136300
948,18274,-5
949,64067,210000
950,91630,150000
951,52109,106000
952,63710,35000
953,70212,12213
954,83581,110000
955,45546,-1
956,55543,27500
957,26602,-5
958,41439,47000
959,96442,156000
960,88979,497763
961,88914,204000
962,67250,190667
963,51978,-2
964,28308,42000
965,10950,-5
966,18824,-5
967,17834,168000
968,43365,55200
969,44379,87500
970,57553,127000
971,53275,75000
972,57315,45000
973,65073,12880
974,66668,146000
975,-4,-5
976,62466,80000
977,90864,128000
978,20867,103200
979,41411,23000
980,40748,88000
981,21246,-2
982,55097,50000
983,-4,-5
984,37731,40580
985,52705,30000
986,51322,-5
987,86122,-5
988,5508,64964
989,67749,-5
990,60136,68000
991,38234,-5
992,24577,153400
993,90719,-5
994,51447,46680
995,83931,66012
996,30891,-5
997,78723,48000
998,92133,-5
999,67602,90000
1000,67877,6620
1001,16807,-2
1002,5271,0
1003,61145,85000
1004,27973,53000
1005,33605,-2
1006,71039,-5
1007,47450,167000
1008,33430,-5
1009,19686,-1
1010,88408,-5
1011,34339,101000
1012,15678,17988
1013,91199,25000
1014,94207,90300
1015,85366,73200
1016,28497,-5
1017,73243,72800
1018,47362,-5
1019,100000,78000
1020,98236,79000
1021,59376,-5
1022,4049,42000
1023,92319,123600
1024,77471,-2
1025,-5,-5
1026,-5,-5
1027,12661,-5
1028,4672,-2
1029,26365,50127
1030,13143,10576
1031,6324,9384
1032,49,-5
1033,8101,3240
1034,12727,-2
1035,37759,15000
1036,-4,-5
1037,40617,35000
1038,64065,107000
1039,71230,21936
1040,55277,-5
1041,-4,-5
1042,28954,14000
1043,3732,10200
1044,4871,18000
1045,65206,58005
1046,70337,86025
1047,22497,11616
1048,3156,25280
1049,84635,118000
1050,86124,497763
1051,87785,97100
1052,89341,-5
1053,73413,221000
1054,-4,51400
1055,77043,105500
1056,15555,17000
1057,290,51000
1058,34012,56000
1059,12878,84000
1060,33045,40000
1061,80231,84000
1062,58977,-5
1063,45580,23570
1064,59869,-5
1065,70030,145000
1066,-4,-5
1067,887,0
1068,958,0
1069,8168,-5
1070,4341,14814
1071,8758,63600
1072,35780,187500
1073,15431,12348
1074,14876,-2
1075,-4,-5
1076,43456,45000
1077,7901,98000
1078,88023,83000
1079,24473,43000
1080,68497,95000
1081,76163,50000
1082,71597,146300
1083,76983,-5
1084,10691,-5
1085,65317,39957
1086,77119,-5
1087,100000,78600
1088,98870,107000
1089,1672,35000
1090,12621,0
1091,51083,-5
1092,59139,32000
1093,50614,-5
1094,32725,-5
1095,54507,-5
1096,15428,40000
1097,97926,106000
1098,98356,209000
1099,64442,-5
1100,52660,-5
1101,89998,71000
1102,44711,497763
1103,75596,-5
1104,55829,48000
1105,65903,161000
1106,87203,51250
1107,40507,174000
1108,24060,-5
1109,72495,-2
1110,42501,-1
1111,44401,122000
1112,41686,-2
1113,-5,47148
1114,31751,9464
1115,26099,-5
1116,31890,32200
1117,38104,61600
1118,22955,40000
1119,65235,-5
1120,79870,-5
1121,-4,-5
1122,99147,26000
1123,46784,-5
1124,861,-5
1125,-4,-5
1126,-4,-5
1127,56257,33000
1128,-4,-5
1129,440,-1
1130,50405,187700
1131,28786,54000
1132,25911,33000
1133,-4,-5
1134,65998,47000
1135,57671,-5
1136,98722,-5
1137,73416,-5
1138,58192,-5
1139,72569,44888
1140,53067,31000
1141,17614,28000
1142,80556,135000
1143,83528,250000
1144,79836,150000
1145,89989,-5
1146,13533,-5
1147,58247,27910
1148,2509,26000
1149,3686,1890
1150,8719,-1
1151,-4,-5
1152,157,88000
1153,4843,10044
1154,37463,-5
1155,25334,-1
1156,39245,29000
1157,70820,-5
1158,27018,40000
1159,45679,-1
1160,34867,50000
1161,38966,0
1162,10641,-5
1163,20274,36670
1164,-4,-5
1165,10734,51000
1166,42776,-2
1167,91438,-5
1168,8929,-5
1169,53364,-2
1170,33971,497763
1171,26109,-2
1172,72620,58000
1173,50560,-5
1174,87820,250000
1175,94662,155000
1176,62064,121000
1177,96106,107520
1178,67830,-2
1179,74366,60500
1180,14174,150000
1181,64846,-5
1182,91545,140000
1183,94005,-5
1184,90731,142600
1185,100000,497763
1186,58930,260000
1187,86394,87000
1188,79064,223000
1189,31096,97100
1190,20717,72000
1191,15640,63000
1192,28225,41000
1193,32369,35000
1194,13798,-5
1195,70028,-2
1196,-5,-5
1197,74129,-5
1198,58587,72000
1199,17116,56000
1200,49449,4865
1201,23078,56000
1202,16511,-5
1203,17864,-1
1204,349,25000
1205,7028,38000
1206,22441,18000
1207,24260,-2
1208,82941,150000
1209,2921,-5
1210,470,25989
1211,3778,29000
1212,3310,0
1213,2636,9636
1214,4866,-5
1215,14118,34000
1216,14231,64400
1217,5543,-5
1218,23888,-5
1219,16449,-5
1220,4968,30000
1221,899,18798
1222,7510,53000
1223,1552,-5
1224,15040,39473
1225,1354,10859
1226,12655,15596
1227,1210,7000
1228,39856,-5
1229,48703,70100
1230,18945,27000
1231,86922,135000
1232,79533,-5
1233,36925,32118
1234,17520,111760
1235,9121,64000
1236,38073,61000
1237,29091,32000
1238,54782,-2
1239,37981,-5
1240,70563,52300
1241,8278,8940
1242,14519,41000
1243,51721,-2
1244,9604,-2
1245,20120,-2
1246,45325,32000
1247,12838,2400
1248,45437,-5
1249,64562,64000
1250,31365,117000
1251,36464,-5
1252,54280,79500
1253,52948,107500
1254,57259,-5
1255,93903,-5
1256,17735,90097
1257,34121,39000
1258,62762,100000
1259,12013,90041
1260,10889,-2
1261,66079,14000
1262,83788,140000
1263,74608,73751
1264,71181,-5
1265,58315,17600
1266,-4,16800
1267,59704,75000
1268,98102,-5
1269,52426,-1
1270,80192,-5
1271,28036,-5
1272,37465,116000
1273,68375,-5
1274,73865,27932
1275,519,-5
1276,92033,49450
1277,62239,-5
1278,19149,-5
1279,81419,145000
1280,33843,27000
1281,92277,37300
1282,28888,1000
1283,96091,72650
1284,16366,-5
1285,25934,10524
1286,6841,34000
1287,7088,185030
1288,10393,112000
1289,26637,23000
1290,38983,32000
1291,8107,25376
1292,28932,-2
1293,35191,130000
1294,51781,-2
1295,5190,-5
1296,37982,2000
1297,532,-5
1298,39794,-5
1299,41461,-5
1300,35904,29552
1301,27851,64500
1302,27097,9300
1303,75712,122000
1304,81201,-5
1305,41065,-5
1306,48847,52600
1307,20649,3900
1308,6654,0
1309,58331,-5
1310,48538,142500
1311,46540,80000
1312,41138,80200
1313,1521,15000
1314,2824,-5
1315,70510,286000
1316,26151,-2
1317,26157,-5
1318,22661,37050
1319,6629,80000
1320,100000,93000
1321,51798,62000
1322,16205,-5
1323,85328,142500
1324,34870,103025
1325,82181,100000
1326,55253,150000
1327,59279,102548
1328,10347,-5
1329,4631,0
1330,10551,10776
1331,61304,-5
1332,53182,-5
1333,448,-5
1334,61893,-5
1335,22195,-5
1336,-5,-5
1337,7949,14340
1338,66383,38000
1339,11492,11380
1340,25124,-5
1341,16803,-2
1342,10129,0
1343,28553,80000
1344,67442,97000
1345,50722,95000
1346,32361,-5
1347,50056,260000
1348,90144,-5
1349,-4,-1
1350,-4,118000
1351,54619,27000
1352,44286,120150
1353,50963,21600
1354,-4,-2
1355,-4,-5
1356,87399,32000
1357,5401,-2
1358,45132,-1
1359,61346,61138
1360,28956,134000
1361,24454,17000
1362,96033,50200
1363,56984,114228
1364,79925,-5
1365,-4,-5
1366,36305,-1
1367,85660,112500
1368,96899,80000
1369,52740,-1
1370,12913,22000
1371,17148,-2
1372,-4,60800
1373,43702,-5
1374,69216,60000
1375,27373,22178
1376,17999,11303
1377,72864,6645
1378,27402,58000
1379,38627,152500
1380,25147,-5
1381,3013,8436
1382,28114,15780
1383,2991,100000
1384,13400,1140
1385,44576,70000
1386,24991,-5
1387,6394,-5
1388,3922,-5
1389,48443,120000
1390,33299,97176
1391,4819,-5
1392,332,9360
1393,66493,164000
1394,67269,160000
1395,45317,-2
1396,49766,-5
1397,26780,59000
1398,26210,20000
1399,74636,77000
1400,144,-5
1401,27325,10800
1402,97237,130000
1403,74155,-5
1404,23686,50000
1405,-4,-2
1406,2946,-5
1407,-5,-5
1408,60978,167000
1409,33509,55000
1410,80352,-5
1411,45789,10000
1412,15238,10000
1413,1650,19440
1414,7282,-5
1415,5068,0
1416,20731,55164
1417,24893,38404
1418,61570,87000
1419,4111,47688
1420,52880,14400
1421,69413,-5
1422,10990,-5
1423,50462,62400
1424,-5,159200
1425,77186,48000
1426,54506,58000
1427,84308,94000
1428,64816,-5
1429,82219,65000
1430,59004,87200
1431,35119,-5
1432,18811,93000
1433,36667,115000
1434,1985,71200
1435,14857,-2
1436,8681,17000
1437,8625,-5
1438,4199,39600
1439,6415,11020
1440,10283,20000
1441,4354,17000
1442,13340,93000
1443,92833,93173
1444,53272,-5
1445,39305,-5
1446,-5,78500
1447,-4,-5
1448,4007,-5
1449,10664,-5
1450,6269,-1
1451,17810,-2
1452,9502,-5
1453,-5,-5
1454,50481,-5
1455,14511,7523
1456,34476,-2
1457,-5,-5
1458,39235,91600
1459,85258,60150
1460,57318,-5
1461,62549,9492
1462,33171,-5
1463,39391,-5
1464,-5,96500
1465,17597,60000
1466,4488,-5
1467,582,-5
1468,36634,95300
1469,20960,73611
1470,64514,85000
1471,15586,60000
1472,15521,-5
1473,-4,-5
1474,72829,-2
1475,-4,-5
1476,39784,-5
1477,48936,-5
1478,54932,43000
1479,97372,195000
1480,3765,0
1481,49641,127000
1482,2788,35000
1483,4102,23102
1484,2513,-2
1485,3917,30000
1486,33156,96000
1487,42852,106000
1488,10987,0
1489,9359,-1
1490,19642,-5
1491,14083,36184
1492,82535,78000
1493,65038,200000
1494,51198,-5
1495,19342,52000
1496,89320,67000
1497,95463,-5
1498,-4,-5
1499,47406,63884
1500,24715,62000
1501,97458,134700
1502,98242,-5
1503,84661,-5
1504,93087,210000
1505,77446,108000
1506,88937,58200
1507,60833,59928
1508,96289,30000
1509,90493,54000
1510,66956,63080
1511,63161,72450
1512,80758,115000
1513,19818,-5
1514,45160,28000
1515,44773,497763
1516,8674,34104
1517,3585,-5
1518,12830,-5
1519,47054,-5
1520,6090,33000
1521,21457,-5
1522,67176,46000
1523,36895,-5
1524,3263,12000
1525,24670,52000
1526,81260,-5
1527,2099,30000
1528,13552,37116
1529,35947,22800
1530,30909,42120
1531,44428,35000
1532,57544,-5
1533,28873,11800
1534,27174,-5
1535,29084,-5
1536,22903,-5
1537,-4,80000
1538,30590,114000
1539,77510,98020
1540,48275,48100
1541,22337,72000
1542,15292,-1
1543,19054,-5
1544,23388,-5
1545,8137,-5
1546,19853,57000
1547,43214,38684
1548,40716,3100
1549,30043,8376
1550,60577,-5
1551,25797,40400
1552,24669,99000
1553,79584,76720
1554,52176,62000
1555,69185,36500
1556,69556,100412
1557,19563,77000
1558,60233,13080
1559,25929,61200
1560,21060,15000
1561,55967,-5
1562,81621,-5
1563,95429,102200
1564,84972,38650
1565,89831,-5
1566,65249,116500
1567,70283,91000
1568,79707,-5
1569,72895,93000
1570,59313,-5
1571,77537,54000
1572,-5,-5
1573,-4,62000
1574,90317,95000
1575,33184,497763
1576,-4,-5
1577,60110,68000
1578,17678,100
1579,14602,36200
1580,21756,-5
1581,7984,-2
1582,48450,-5
1583,39966,-5
1584,88626,63905
1585,54802,95000
1586,69894,75600
1587,92892,64000
1588,-4,118000
1589,64806,70000
1590,22782,21000
1591,33418,21600
1592,27228,57000
1593,14232,11030
1594,41694,-5
1595,44794,-2
1596,637,10824
1597,67922,76000
1598,70988,52000
1599,43417,27352
1600,60940,0
1601,53921,-5
1602,54571,214400
1603,45157,-2
1604,-5,-5
1605,40773,75727
1606,52053,-5
1607,48830,46800
1608,58110,-5
1609,43768,126400
1610,29107,87440
1611,80297,-5
1612,66377,0
1613,61013,-5
1614,-5,-5
1615,-5,-5
1616,83875,34140
1617,21965,24000
1618,68017,40805
1619,58937,-5
1620,61849,-5
1621,87899,41050
1622,55357,78735
1623,99819,5000
1624,99486,497763
1625,92670,-5
1626,96046,93000
1627,36485,23000
1628,59202,68200
1629,65439,110650
1630,74216,68800
1631,96226,150500
1632,98630,174800
1633,86213,173000
1634,97825,253798
1635,53399,58709
1636,49697,63500
1637,60861,22000
1638,75843,66000
1639,93451,167000
1640,51871,64078
1641,62029,150000
1642,1532,22000
1643,471,81000
1644,43409,-2
1645,16378,-5
1646,21105,75200
1647,42266,1729
1648,2274,45600
1649,2532,13908
1650,13431,21000
1651,71136,497763
1652,94422,-5
1653,60385,174000
1654,47119,-5
1655,42639,497763
1656,51885,48125
1657,91394,80000
1658,95760,66000
1659,61986,43505
1660,20299,-5
1661,26343,0
1662,60474,7260
1663,36896,9632
1664,19718,-2
1665,83224,-5
1666,6066,52000
1667,65989,-5
1668,49464,-1
1669,84474,-5
